Ano,CPI
2000,9.49156
2001,6.367737
2002,5.030733
2003,4.546898
2004,4.688407
2005,3.988061
2006,3.629463
2007,3.96685
2008,5.124982
2009,5.297357
2010,4.156728
2011,3.40738
2012,4.111508
2013,3.80639
2014,4.018617
