Comunidad,Reservas,AnoImp,AnoLegal,Tipo,InsVig,Manejo
Isla Natividad,2,2006,,Reserva Comunitaria,Los pescadores tienen un sistema de turnos para vigilar la reserva día y noche desde embarcaciones patrulla,"Permisos de escama, concesión de langosta, tallas mínimas, temporadas de veda, cuotas"
Puerto Libertad,1,2012,2017,Reserva Comunitaria - Zona de Refugio Pesquero,No tiene,"Permisos, tallas minimas, temporadas de veda, cuotas de captura, Zonas de Manejo Integral"
Guaymas,3,2012,2017,Reserva Comunitaria - Zona de Refugio Pesquero,No tiene,"Plan de mejora pesquera jurel,Permisos, tallas minimas, temporadas de veda"
Maria Elena,8,2012,2012,Zona de refugio Pesquero,"Equipo de vigilancia comunitaria, con apoyo de la CONANP y COBI. COBI donó embarcacion. Recorridos frecuentes","Permisos de pesca de escama, concesión de langosta, tallas minimas, temporadas de veda"
Punta Herrero,4,2013,2013,Zona de refugio Pesquero,"Equipo de vigilancia comunitaria, con apoyo de la CONANP. Se reañizan pocos recorridos marinos","Permisos de pesca de escama y tiburon, concesión de langosta, tallas minimas, temporadas de veda"
